Shot,Mat,cGANsim,cGAN_largesim,LF_LRsim
40,2,0.106963915,0.115661396,0.148502166
40,3,0.18035295,0.286536355,0.27974579
40,4,0.204162012,0.197896153,0.24266504
40,5,0.094665643,0.198180229,0.203329286
40,6,0.107097436,0.236275276,0.215942257
40,7,0.160466184,0.148288969,0.141082163
40,8,0.148148096,0.134996681,0.16859875
41,1,0.163743712,0.173357288,0.189457833
41,2,0.166136986,0.115595735,0.134024604
41,3,0.207122361,0.282662018,0.233908856
41,4,0.239790534,0.180628892,0.234910188
41,5,0.085884784,0.173043709,0.186874981
41,6,0.126916763,0.233627538,0.20738482
41,7,0.180440853,0.117324243,0.166387136
41,8,0.140139074,0.165638083,0.186823903
42,1,0.134888127,0.11466517,0.139589959
42,2,0.112390093,0.113544632,0.130144834
42,3,0.139427501,0.111242269,0.148696519
42,4,0.134335763,0.091745391,0.1431814
42,5,0.12000192,0.096602037,0.141499626
42,6,0.120697798,0.098575739,0.128211857
42,7,0.13394956,0.054168831,0.137040807
42,8,0.101803992,0.088218893,0.130467308
43,1,0.186895751,0.184962743,0.190387892
43,2,0.160709236,0.104631392,0.157013195
43,3,0.166042084,0.275643605,0.28472048
43,4,0.187119226,0.20610546,0.216950086
43,5,0.104263317,0.156590124,0.149194982
43,6,0.118412045,0.23358842,0.19307304
43,7,0.164343243,0.154113296,0.138462464
43,8,0.142520359,0.187504444,0.131032994
44,1,0.150418331,0.161882825,0.152970569
44,2,0.140772063,0.083817713,0.147746265
44,3,0.177106085,0.285642656,0.248218267
44,4,0.194975076,0.166134632,0.157095304
44,5,0.099383457,0.161381995,0.155785379
44,6,0.118716054,0.240815762,0.172378561
44,7,0.150899722,0.13738119,0.192441092
44,8,0.131749568,0.13958602,0.121486514
45,1,0.17087231,0.19284409,0.14955202
45,2,0.149887356,0.074684703,0.128408268
45,3,0.15444087,0.301724682,0.281411399
45,4,0.219725011,0.237479573,0.221316766
45,5,0.088960104,0.177860402,0.192312212
45,6,0.104998166,0.238819444,0.197374379
45,7,0.163542291,0.148412297,0.156680418
45,8,0.147592844,0.201504899,0.211669921
46,1,0.177061359,0.167856303,0.131975411
46,2,0.121944666,0.092052922,0.13991758
